Visitor,Plant,Family,Date,Elevation,Site,Data,Plant2,ElevationCorrect,MinEle,MaxEle,EleZone
Argynnis adippe,Centaurea nigra,Lep.,31/08/1889,1000,Gedre,MacLeod,Centaurea nigra,1000,1000,1000,1000-1200
Argynnis adippe,Centaurea nigra,Lep.,5/08/1889,1000,Gedre,MacLeod,Centaurea nigra,1000,1000,1000,1000-1200
Argynnis paphia,Centaurea nigra,Lep.,5/08/1889,1000,Gedre,MacLeod,Centaurea nigra,1000,1000,1000,1000-1200
Argynnis paphia,Centaurea nigra,Lep.,29/08/1889,1000,Gedre,MacLeod,Centaurea nigra,1000,1000,1000,1000-1200
Argynnis paphia,Centaurea nigra,Lep.,30/08/1889,1000,Gedre,MacLeod,Centaurea nigra,1000,1000,1000,1000-1200
Colias croceus,Centaurea nigra,Lep.,26/08/1889,1000,Gedre,MacLeod,Centaurea nigra,1000,1000,1000,1000-1200
Colias croceus,Centaurea nigra,Lep.,30/08/1889,1000,Gedre,MacLeod,Centaurea nigra,1000,1000,1000,1000-1200
Crambus perlella,Centaurea nigra,Lep.,31/08/1889,1000,Gedre,MacLeod,Centaurea nigra,1000,1000,1000,1000-1200
Maniola jurtina,Centaurea nigra,Lep.,25/08/1889,1000,Gedre,MacLeod,Centaurea nigra,1000,1000,1000,1000-1200
Polyommatus icarus,Centaurea nigra,Lep.,26/08/1889,1000,Gedre,MacLeod,Centaurea nigra,1000,1000,1000,1000-1200
Papilio machaon,Centaurea nigra,Lep.,31/08/1889,1000,Gedre,MacLeod,Centaurea nigra,1000,1000,1000,1000-1200
Pieris brassicae,Centaurea nigra,Lep.,26/08/1889,1000,Gedre,MacLeod,Centaurea nigra,1000,1000,1000,1000-1200
Pieris rapae,Centaurea nigra,Lep.,30/08/1889,1000,Gedre,MacLeod,Centaurea nigra,1000,1000,1000,1000-1200
Gonepteryx rhamni,Centaurea nigra,Lep.,26/08/1889,1000,Gedre,MacLeod,Centaurea nigra,1000,1000,1000,1000-1200
Polygonia C-album,Centaurea nigra,Lep.,31/08/1889,1000,Gedre,MacLeod,Centaurea nigra,1000,1000,1000,1000-1200
Vanessa cardui,Centaurea nigra,Lep.,30/08/1889,1000,Gedre,MacLeod,Centaurea nigra,1000,1000,1000,1000-1200
Bombus mesomelas,Centaurea scabiosa,Hym.,11/08/1889,1000,Gedre,MacLeod,Centaurea scabiosa,1000,1000,1000,1000-1200
Bombus terrestris complex,Centaurea scabiosa,Hym.,5/08/1889,1000,Gedre,MacLeod,Centaurea scabiosa,1000,1000,1000,1000-1200
Zygaena sp.,Centaurea scabiosa,Lep.,6/08/1889,1000,Gedre,MacLeod,Centaurea scabiosa,1000,1000,1000,1000-1200
Bombus mesomelas,Cirsum monspessulanum,Hym.,9/08/1889,1000,Gedre,MacLeod,Cirsium monspessulanum,1000,1000,1000,1000-1200
Bombus mesomelas,Cirsum monspessulanum,Hym.,29/08/1889,1000,Gedre,MacLeod,Cirsium monspessulanum,1000,1000,1000,1000-1200
Bombus hortorum,Cirsum monspessulanum,Hym.,5/08/1889,1000,Gedre,MacLeod,Cirsium monspessulanum,1000,1000,1000,1000-1200
Bombus hortorum,Cirsum monspessulanum,Hym.,9/08/1889,1000,Gedre,MacLeod,Cirsium monspessulanum,1000,1000,1000,1000-1200
Maniola jurtina,Cirsum monspessulanum,Lep.,29/08/1889,1000,Gedre,MacLeod,Cirsium monspessulanum,1000,1000,1000,1000-1200
Gonepteryx rhamni,Cirsum monspessulanum,Lep.,29/08/1889,1000,Gedre,MacLeod,Cirsium monspessulanum,1000,1000,1000,1000-1200
Bombus mesomelas,Echium vulgare (incl. forma pyrenaica),Hym.,25/08/1889,1000,Gedre,MacLeod,Echium vulgare,1000,1000,1000,1000-1200
Bombus hortorum,Echium vulgare (incl. forma pyrenaica),Hym.,25/08/1889,1000,Gedre,MacLeod,Echium vulgare,1000,1000,1000,1000-1200
Bombus mesomelas,Echium vulgare (incl. forma pyrenaica),Hym.,25/08/1889,1000,Gedre,MacLeod,Echium vulgare,1000,1000,1000,1000-1200
Bombus terrestris complex,Echium vulgare (incl. forma pyrenaica),Hym.,25/08/1889,1000,Gedre,MacLeod,Echium vulgare,1000,1000,1000,1000-1200
Bombus humilis,Echium vulgare (incl. forma pyrenaica),Hym.,25/08/1889,1000,Gedre,MacLeod,Echium vulgare,1000,1000,1000,1000-1200
Crambus perlella,Echium vulgare (incl. forma pyrenaica),Lep.,25/08/1889,1000,Gedre,MacLeod,Echium vulgare,1000,1000,1000,1000-1200
Autographa gamma,Echium vulgare (incl. forma pyrenaica),Lep.,25/08/1889,1000,Gedre,MacLeod,Echium vulgare,1000,1000,1000,1000-1200
Euplagia quadripunctaria,Eupatorium cannabinum,Lep.,29/08/1889,1000,Gedre,MacLeod,Eupatorium cannabinum,1000,1000,1000,1000-1200
Bombus hortorum,Galeopsis ladanum,Hym.,26/08/1889,1000,,MacLeod,Galeopsis ladanum,1000,1000,1000,1000-1200
Maniola jurtina,Mentha sylvestris,Lep.,29/08/1889,1000,Gedre,MacLeod,Mentha longifolia,1000,1000,1000,1000-1200
Aricia cramera,Mentha sylvestris,Lep.,29/08/1889,1000,Gedre,MacLeod,Mentha longifolia,1000,1000,1000,1000-1200
Anthophila fabriciana,Mentha sylvestris,Lep.,29/08/1889,1000,Gedre,MacLeod,Mentha longifolia,1000,1000,1000,1000-1200
Bombus terrestris complex,Merendera bulbocodium,Hym.,25/08/1889,1000,Gedre,MacLeod,Merendera bulbocodium,1000,1000,1000,1000-1200
Bombus humilis,Merendera bulbocodium,Hym.,26/08/1889,1000,Gedre,MacLeod,Merendera bulbocodium,1000,1000,1000,1000-1200
Maniola jurtina,Merendera bulbocodium,Lep.,25/08/1889,1000,Gedre,MacLeod,Merendera bulbocodium,1000,1000,1000,1000-1200
Bombus humilis,Origanum vulgare,Hym.,5/08/1889,1000,Gedre,MacLeod,Origanum vulgare,1000,1000,1000,1000-1200
Maniola jurtina,Origanum vulgare,Lep.,28/08/1889,1000,Gedre,MacLeod,Origanum vulgare,1000,1000,1000,1000-1200
Aricia cramera,Origanum vulgare,Lep.,5/08/1889,1000,Gedre,MacLeod,Origanum vulgare,1000,1000,1000,1000-1200
Aricia cramera,Origanum vulgare,Lep.,26/08/1889,1000,Gedre,MacLeod,Origanum vulgare,1000,1000,1000,1000-1200
Polyommatus coridon,Origanum vulgare,Lep.,5/08/1889,1000,Gedre,MacLeod,Origanum vulgare,1000,1000,1000,1000-1200
Polyommatus coridon,Origanum vulgare,Lep.,7/08/1889,1000,Gedre,MacLeod,Origanum vulgare,1000,1000,1000,1000-1200
Melitaea diamina,Origanum vulgare,Lep.,5/08/1889,1000,Gedre,MacLeod,Origanum vulgare,1000,1000,1000,1000-1200
Bombus pascuorum,Picris hieracioides,Hym.,5/08/1889,1000,Gedre,MacLeod,Picris hieracioides,1000,1000,1000,1000-1200
Bombus mesomelas,Satureia montana,Hym.,25/08/1889,1000,Gedre,MacLeod,Satureja montana,1000,1000,1000,1000-1200
Bombus terrestris complex,Satureia montana,Hym.,25/08/1889,1000,Gedre,MacLeod,Satureja montana,1000,1000,1000,1000-1200
Bombus mesomelas,scabiosa columbaria,Hym.,25/08/1889,1000,Gedre,MacLeod,Scabiosa columbaria,1000,1000,1000,1000-1200
Maniola jurtina,scabiosa columbaria,Lep.,25/08/1889,1000,Gedre,MacLeod,Scabiosa columbaria,1000,1000,1000,1000-1200
Zygaena sp.,scabiosa columbaria,Lep.,8/08/1889,1000,Gedre,MacLeod,Scabiosa columbaria,1000,1000,1000,1000-1200
Tebenna pretiosana,Seseli libanotis,Lep.,29/08/1889,1000,Gedre,MacLeod,Seseli libanotis,1000,1000,1000,1000-1200
Bombus wurflenii,Verbena officinalis,Hym.,11/08/1889,1000,Gedre,MacLeod,Verbena officinalis,1000,1000,1000,1000-1200
Maniola jurtina,Verbena officinalis,Lep.,11/08/1889,1000,Gedre,MacLeod,Verbena officinalis,1000,1000,1000,1000-1200
Bombus lapidarius,Centaurea nigra,Hym.,8/08/1889,1000-1100,Gedre,MacLeod,Centaurea nigra,1000,1000,1000,1000-1200
Bombus lapidarius,Centaurea nigra,Hym.,25/08/1889,1000-1100,Gedre,MacLeod,Centaurea nigra,1000,1000,1000,1000-1200
Bombus humilis,Centaurea nigra,Hym.,5/08/1889,1000-1100,Gedre,MacLeod,Centaurea nigra,1000,1000,1000,1000-1200
Bombus humilis,Centaurea nigra,Hym.,8/08/1889,1000-1100,Gedre,MacLeod,Centaurea nigra,1000,1000,1000,1000-1200
Bombus quadricolor,Centaurea nigra,Hym.,5/08/1889,1000-1100,Gedre,MacLeod,Centaurea nigra,1000,1000,1000,1000-1200
Maniola jurtina,Centaurea nigra,Lep.,5/08/1889,1000-1100,Gedre,MacLeod,Centaurea nigra,1000,1000,1000,1000-1200
Maniola jurtina,Centaurea nigra,Lep.,8/08/1889,1000-1100,Gedre,MacLeod,Centaurea nigra,1000,1000,1000,1000-1200
Bombus humilis,Satureia montana,Hym.,26/08/1889,1000-1100,Gedre,MacLeod,Satureja montana,1000,1000,1000,1000-1200
Bombus terrestris complex,scabiosa columbaria,Hym.,8/08/1889,1000-1100,Gedre,MacLeod,Scabiosa columbaria,1000,1000,1000,1000-1200
Melanargia lachesis,Carduus medius,Lep.,7/08/1889,1000-1200,Gedre,MacLeod,Carduus defloratus,1000,1000,1000,1000-1200
Melanargia lachesis,Carduus medius,Lep.,12/08/1889,1000-1200,Gedre,MacLeod,Carduus defloratus,1000,1000,1000,1000-1200
Zygaena sp.,Centaurea nigra,Lep.,5/08/1889,1000-1200,Gedre,MacLeod,Centaurea nigra,1000,1000,1000,1000-1200
Zygaena sp.,Centaurea nigra,Lep.,7/08/1889,1000-1200,Gedre,MacLeod,Centaurea nigra,1000,1000,1000,1000-1200
Bombus terrestris complex,Rubus fruticosus,Hym.,5/08/1889,1000-1200,Gedre,MacLeod,Rubus fruticosus,1000,1000,1000,1000-1200
Bombus terrestris complex,Rubus fruticosus,Hym.,8/08/1889,1000-1200,Gedre,MacLeod,Rubus fruticosus,1000,1000,1000,1000-1200
Bombus terrestris complex,Rubus fruticosus,Hym.,10/08/1889,1000-1200,Gedre,MacLeod,Rubus fruticosus,1000,1000,1000,1000-1200
Bombus terrestris complex,Rubus fruticosus,Hym.,29/08/1889,1000-1200,Gedre,MacLeod,Rubus fruticosus,1000,1000,1000,1000-1200
Pieris rapae,Verbena officinalis,Lep.,10/08/1889,1000-1200,Gedre,MacLeod,Verbena officinalis,1000,1000,1000,1000-1200
Pieris rapae,Verbena officinalis,Lep.,11/08/1889,1000-1200,Gedre,MacLeod,Verbena officinalis,1000,1000,1000,1000-1200
Pieris rapae,Verbena officinalis,Lep.,28/08/1889,1000-1200,Gedre,MacLeod,Verbena officinalis,1000,1000,1000,1000-1200
Bombus terrestris complex,Cirsum monspessulanum,Hym.,29/08/1889,1050,Gedre,MacLeod,Cirsium monspessulanum,1050,1050,1050,1000-1200
Polyommatus icarus,Verbena officinalis,Lep.,26/08/1889,1050,Gedre,MacLeod,Verbena officinalis,1050,1050,1050,1000-1200
Bombus lapidarius,Allium fallax,Hym.,8/08/1889,1100,Gedre,MacLeod,Allium lusitanicum,1100,1100,1100,1000-1200
Bombus mesomelas,Carduus medius,Hym.,8/08/1889,1100,Gedre,MacLeod,Carduus defloratus,1100,1100,1100,1000-1200
Bombus hortorum,Carduus medius,Hym.,8/08/1889,1100,Gedre,MacLeod,Carduus defloratus,1100,1100,1100,1000-1200
Zygaena sp.,Carduus medius,Lep.,26/08/1889,1100,Gedre,MacLeod,Carduus defloratus,1100,1100,1100,1000-1200
Bombus hortorum,Centaurea scabiosa,Hym.,8/08/1889,1100,Gedre,MacLeod,Centaurea scabiosa,1100,1100,1100,1000-1200
Bombus lapidarius,Cirsum arvense,Hym.,12/08/1889,1100,Gedre (op akkerland),MacLeod,Cirsium arvense,1100,1100,1100,1000-1200
Pieris brassicae,Cirsum monspessulanum,Lep.,9/08/1889,1100,Gedre,MacLeod,Cirsium monspessulanum,1100,1100,1100,1000-1200
Zygaena sp.,Cirsum monspessulanum,Lep.,29/08/1889,1100,Gedre,MacLeod,Cirsium monspessulanum,1100,1100,1100,1000-1200
Bombus hortorum,Cirsum lanceolatum,Hym.,12/08/1889,1100,Gedre,MacLeod,Cirsium vulgare,1100,1100,1100,1000-1200
Bombus lapidarius,Crepis virens,Hym.,9/08/1889,1100,Gedre,MacLeod,Crepis sp.,1100,1100,1100,1000-1200
Bombus soroeensis,Origanum vulgare,Hym.,26/08/1889,1100,Gedre,MacLeod,Origanum vulgare,1100,1100,1100,1000-1200
Argynnis paphia,Origanum vulgare,Lep.,26/08/1889,1100,Gedre,MacLeod,Origanum vulgare,1100,1100,1100,1000-1200
Euplagia quadripunctaria,Origanum vulgare,Lep.,26/08/1889,1100,Gedre,MacLeod,Origanum vulgare,1100,1100,1100,1000-1200
Pieris rapae,Origanum vulgare,Lep.,26/08/1889,1100,Gedre,MacLeod,Origanum vulgare,1100,1100,1100,1000-1200
Pyrgus alveus,Origanum vulgare,Lep.,26/08/1889,1100,Gedre,MacLeod,Origanum vulgare,1100,1100,1100,1000-1200
Zygaena sp.,Origanum vulgare,Lep.,26/08/1889,1100,Gedre,MacLeod,Origanum vulgare,1100,1100,1100,1000-1200
Aglais io,Rubus fruticosus,Lep.,8/08/1889,1100,Gedre,MacLeod,Rubus fruticosus,1100,1100,1100,1000-1200
Bombus lapidarius,Satureia montana,Hym.,26/08/1889,1100,Gedre,MacLeod,Satureja montana,1100,1100,1100,1000-1200
Polyommatus coridon,Satureia montana,Lep.,26/08/1889,1100,Gedre,MacLeod,Satureja montana,1100,1100,1100,1000-1200
Polyommatus icarus,Satureia montana,Lep.,26/08/1889,1100,Gedre,MacLeod,Satureja montana,1100,1100,1100,1000-1200
Hipparchia alcyone,Satureia montana,Lep.,26/08/1889,1100,Gedre,MacLeod,Satureja montana,1100,1100,1100,1000-1200
Bombus mesomelas,scabiosa columbaria,Hym.,8/08/1889,1100,Gedre,MacLeod,Scabiosa columbaria,1100,1100,1100,1000-1200
Bombus sichelii,scabiosa columbaria,Hym.,9/08/1889,1100,Gedre,MacLeod,Scabiosa columbaria,1100,1100,1100,1000-1200
Polyommatus icarus,scabiosa columbaria,Lep.,9/08/1889,1100,Gedre,MacLeod,Scabiosa columbaria,1100,1100,1100,1000-1200
Pieris rapae,scabiosa columbaria,Lep.,8/08/1889,1100,Gedre,MacLeod,Scabiosa columbaria,1100,1100,1100,1000-1200
Aglais urticae,scabiosa columbaria,Lep.,8/08/1889,1100,Gedre,MacLeod,Scabiosa columbaria,1100,1100,1100,1000-1200
Zygaena sp.,scabiosa columbaria,Lep.,6/08/1889,1100,Gedre,MacLeod,Scabiosa columbaria,1100,1100,1100,1000-1200
Zygaena sp.,scabiosa columbaria,Lep.,9/08/1889,1100,Gedre,MacLeod,Scabiosa columbaria,1100,1100,1100,1000-1200
Bombus lapidarius,Verbena officinalis,Hym.,28/08/1889,1100,Gedre,MacLeod,Verbena officinalis,1100,1100,1100,1000-1200
Bombus mesomelas,Verbena officinalis,Hym.,28/08/1889,1100,Gedre,MacLeod,Verbena officinalis,1100,1100,1100,1000-1200
Bombus terrestris complex,Verbena officinalis,Hym.,28/08/1889,1100,Gedre,MacLeod,Verbena officinalis,1100,1100,1100,1000-1200
Bombus humilis,Verbena officinalis,Hym.,28/08/1889,1100,Gedre,MacLeod,Verbena officinalis,1100,1100,1100,1000-1200
Bombus lapidarius,Centaurea nigra,Hym.,8/08/1889,1000-1100,Gedre,MacLeod,Centaurea nigra,1100,1100,1100,1000-1200
Bombus lapidarius,Centaurea nigra,Hym.,25/08/1889,1000-1100,Gedre,MacLeod,Centaurea nigra,1100,1100,1100,1000-1200
Bombus humilis,Centaurea nigra,Hym.,5/08/1889,1000-1100,Gedre,MacLeod,Centaurea nigra,1100,1100,1100,1000-1200
Bombus humilis,Centaurea nigra,Hym.,8/08/1889,1000-1100,Gedre,MacLeod,Centaurea nigra,1100,1100,1100,1000-1200
Bombus quadricolor,Centaurea nigra,Hym.,5/08/1889,1000-1100,Gedre,MacLeod,Centaurea nigra,1100,1100,1100,1000-1200
Maniola jurtina,Centaurea nigra,Lep.,5/08/1889,1000-1100,Gedre,MacLeod,Centaurea nigra,1100,1100,1100,1000-1200
Maniola jurtina,Centaurea nigra,Lep.,8/08/1889,1000-1100,Gedre,MacLeod,Centaurea nigra,1100,1100,1100,1000-1200
Bombus humilis,Satureia montana,Hym.,26/08/1889,1000-1100,Gedre,MacLeod,Satureja montana,1100,1100,1100,1000-1200
Bombus terrestris complex,scabiosa columbaria,Hym.,8/08/1889,1000-1100,Gedre,MacLeod,Scabiosa columbaria,1100,1100,1100,1000-1200
Melanargia lachesis,Carduus medius,Lep.,7/08/1890,1000-1201,Gedre,MacLeod,Carduus defloratus,1100,1100,1100,1000-1200
Melanargia lachesis,Carduus medius,Lep.,12/08/1890,1000-1201,Gedre,MacLeod,Carduus defloratus,1100,1100,1100,1000-1200
Zygaena sp.,Centaurea nigra,Lep.,5/08/1890,1000-1201,Gedre,MacLeod,Centaurea nigra,1100,1100,1100,1000-1200
Zygaena sp.,Centaurea nigra,Lep.,7/08/1890,1000-1201,Gedre,MacLeod,Centaurea nigra,1100,1100,1100,1000-1200
Bombus terrestris complex,Rubus fruticosus,Hym.,5/08/1890,1000-1201,Gedre,MacLeod,Rubus fruticosus,1100,1100,1100,1000-1200
Bombus terrestris complex,Rubus fruticosus,Hym.,8/08/1890,1000-1201,Gedre,MacLeod,Rubus fruticosus,1100,1100,1100,1000-1200
Bombus terrestris complex,Rubus fruticosus,Hym.,10/08/1890,1000-1201,Gedre,MacLeod,Rubus fruticosus,1100,1100,1100,1000-1200
Bombus terrestris complex,Rubus fruticosus,Hym.,29/08/1890,1000-1201,Gedre,MacLeod,Rubus fruticosus,1100,1100,1100,1000-1200
Pieris rapae,Verbena officinalis,Lep.,10/08/1890,1000-1201,Gedre,MacLeod,Verbena officinalis,1100,1100,1100,1000-1200
Pieris rapae,Verbena officinalis,Lep.,11/08/1890,1000-1201,Gedre,MacLeod,Verbena officinalis,1100,1100,1100,1000-1200
Pieris rapae,Verbena officinalis,Lep.,28/08/1890,1000-1201,Gedre,MacLeod,Verbena officinalis,1100,1100,1100,1000-1200
Bombus hortorum,Aconitum napellus,Hym.,8/08/1889,1100-1200,Gedre,MacLeod,Aconitum sp.,1100,1100,1100,1000-1200
Bombus humilis,Carduus medius,Hym.,6/08/1889,1100-1200,Gedre,MacLeod,Carduus defloratus,1100,1100,1100,1000-1200
Bombus humilis,Carduus medius,Hym.,8/08/1889,1100-1200,Gedre,MacLeod,Carduus defloratus,1100,1100,1100,1000-1200
Bombus quadricolor,Carduus medius,Hym.,7/08/1889,1100-1200,Gedre,MacLeod,Carduus defloratus,1100,1100,1100,1000-1200
Bombus quadricolor,Carduus medius,Hym.,8/08/1889,1100-1200,Gedre,MacLeod,Carduus defloratus,1100,1100,1100,1000-1200
Bombus hortorum,Aconitum napellus,Hym.,12/08/1889,1100-1201,Gedre,MacLeod,Aconitum sp.,1100,1100,1100,1000-1200
 ,Cirsium monspessulanum,Hymenoptera,22/08/2005,1105,P156x,Biesmeijer,Cirsium monspessulanum,1105,1105,1105,1000-1200
Bombus bohemicus,Cirsium monspessulanum,Hymenoptera,22/08/2005,1105,P156,Biesmeijer,Cirsium monspessulanum,1105,1105,1105,1000-1200
Bombus lapidarius,Cirsium monspessulanum,Hymenoptera,22/08/2005,1105,P156,Biesmeijer,Cirsium monspessulanum,1105,1105,1105,1000-1200
Bombus quadricolor,Cirsium monspessulanum,Hymenoptera,22/08/2005,1105,P156,Biesmeijer,Cirsium monspessulanum,1105,1105,1105,1000-1200
Bombus pascuorum,Cirsium monspessulanum,Hymenoptera,22/08/2005,1105,P156,Biesmeijer,Cirsium monspessulanum,1105,1105,1105,1000-1200
Bombus soroeensis,Cirsium monspessulanum,Hymenoptera,22/08/2005,1105,P156,Biesmeijer,Cirsium monspessulanum,1105,1105,1105,1000-1200
Halictus ,Cirsium monspessulanum,Hymenoptera,22/08/2005,1105,P157,Biesmeijer,Cirsium monspessulanum,1105,1105,1105,1000-1200
Bombus ,Cirsium monspessulanum,Hymenoptera,22/08/2005,1105,P157,Biesmeijer,Cirsium monspessulanum,1105,1105,1105,1000-1200
Eristalis tenax,Cirsium monspessulanum,Diptera,22/08/2005,1105,P157,Biesmeijer,Cirsium monspessulanum,1105,1105,1105,1000-1200
Bombus bohemicus,Cirsium monspessulanum,Hymenoptera,22/08/2005,1105,P157,Biesmeijer,Cirsium monspessulanum,1105,1105,1105,1000-1200
Bombus quadricolor,Cirsium monspessulanum,Hymenoptera,22/08/2005,1105,P157,Biesmeijer,Cirsium monspessulanum,1105,1105,1105,1000-1200
Bombus quadricolor,Cirsium monspessulanum,Hymenoptera,22/08/2005,1105,P157,Biesmeijer,Cirsium monspessulanum,1105,1105,1105,1000-1200
Bombus quadricolor,Cirsium monspessulanum,Hymenoptera,22/08/2005,1105,P157,Biesmeijer,Cirsium monspessulanum,1105,1105,1105,1000-1200
Bombus pascuorum,Centaurea nigra,,21/08/2006,1109,P300,Biesmeijer,Centaurea nigra,1109,1109,1109,1000-1200
Bombus soroeensis,Centaurea nigra,,21/08/2006,1109,P300,Biesmeijer,Centaurea nigra,1109,1109,1109,1000-1200
Bombus quadricolor,Centaurea nigra,,21/08/2006,1109,P300,Biesmeijer,Centaurea nigra,1109,1109,1109,1000-1200
lasioglossum ,Centaurea nigra,,21/08/2006,1109,P300,Biesmeijer,Centaurea nigra,1109,1109,1109,1000-1200
lasioglossum ,Centaurea nigra,,21/08/2006,1109,P300,Biesmeijer,Centaurea nigra,1109,1109,1109,1000-1200
Bombus quadricolor,Cirsium monspessulanum,,21/08/2006,1109,P302,Biesmeijer,Cirsium monspessulanum,1109,1109,1109,1000-1200
diptera ,Cirsium monspessulanum,,21/08/2006,1109,P302,Biesmeijer,Cirsium monspessulanum,1109,1109,1109,1000-1200
lasioglossum ,Picris hieracioides,,21/08/2006,1109,P301,Biesmeijer,Picris hieracioides,1109,1109,1109,1000-1200
lasioglossum ,Picris hieracioides,,21/08/2006,1109,P301,Biesmeijer,Picris hieracioides,1109,1109,1109,1000-1200
lasioglossum ,Picris hieracioides,,21/08/2006,1109,P301,Biesmeijer,Picris hieracioides,1109,1109,1109,1000-1200
Halictus ,Cirsium vulgare,Hymenoptera,22/08/2005,1110,P153,Biesmeijer,Cirsium vulgare,1110,1110,1110,1000-1200
Eristalis tenax,Cirsium vulgare,Diptera,22/08/2005,1110,P153,Biesmeijer,Cirsium vulgare,1110,1110,1110,1000-1200
Megachile ,Cirsium vulgare,Hymenoptera,22/08/2005,1110,P153,Biesmeijer,Cirsium vulgare,1110,1110,1110,1000-1200
Megachile ,Cirsium vulgare,Hymenoptera,22/08/2005,1110,P153,Biesmeijer,Cirsium vulgare,1110,1110,1110,1000-1200
Bombus soroeensis,Cirsium vulgare,Hymenoptera,22/08/2005,1110,P153x,Biesmeijer,Cirsium vulgare,1110,1110,1110,1000-1200
 ,Crepis mollis,Hymenoptera,22/08/2005,1110,P155,Biesmeijer,Crepis sp.,1110,1110,1110,1000-1200
Lasioglossum ,Crepis mollis,Hymenoptera,22/08/2005,1110,P155,Biesmeijer,Crepis sp.,1110,1110,1110,1000-1200
Lasioglossum ,Crepis mollis,Hymenoptera,22/08/2005,1110,P155,Biesmeijer,Crepis sp.,1110,1110,1110,1000-1200
Lasioglossum ,Crepis mollis,Hymenoptera,22/08/2005,1110,P155,Biesmeijer,Crepis sp.,1110,1110,1110,1000-1200
Eristalis sp.,Crepis mollis,Diptera,22/08/2005,1110,P155,Biesmeijer,Crepis sp.,1110,1110,1110,1000-1200
Eristalis tenax,Crepis mollis,Diptera,22/08/2005,1110,P155,Biesmeijer,Crepis sp.,1110,1110,1110,1000-1200
Lasioglossum ,Crepis mollis,Hymenoptera,22/08/2005,1110,P155,Biesmeijer,Crepis sp.,1110,1110,1110,1000-1200
Epeolus ,Crepis mollis,Hymenoptera,22/08/2005,1110,P155,Biesmeijer,Crepis sp.,1110,1110,1110,1000-1200
Panurgus ,Crepis mollis,Hymenoptera,22/08/2005,1110,P155,Biesmeijer,Crepis sp.,1110,1110,1110,1000-1200
Panurgus ,Crepis mollis,Hymenoptera,22/08/2005,1110,P155,Biesmeijer,Crepis sp.,1110,1110,1110,1000-1200
Panurgus ,Crepis mollis,Hymenoptera,22/08/2005,1110,P155,Biesmeijer,Crepis sp.,1110,1110,1110,1000-1200
